day,FengWu-W2S_o_ACC,FengWu-W2S_m_ACC,ECMWF_fengwu_ACC
1.0,1.0,1.0,0.98
2.0,0.999,0.999,0.9782
3.0,0.9963,0.9964,0.9748
4.0,0.992,0.9923,0.9699
5.0,0.9867,0.9871,0.9639
6.0,0.9806,0.9813,0.9572
7.0,0.974,0.975,0.95
8.0,0.9649,0.9668,0.9411
9.0,0.9516,0.9553,0.9294
10.0,0.9353,0.9413,0.9156
11.0,0.917,0.9254,0.9002
12.0,0.8978,0.9085,0.8839
13.0,0.8788,0.8911,0.8673
14.0,0.861,0.874,0.851
15.0,0.8438,0.8563,0.8345
16.0,0.8259,0.8369,0.817
17.0,0.8077,0.8165,0.7988
18.0,0.7896,0.7955,0.7801
19.0,0.7717,0.7746,0.761
20.0,0.7544,0.7542,0.7419
21.0,0.738,0.735,0.723
22.0,0.7221,0.7165,0.704
23.0,0.7064,0.6979,0.6847
24.0,0.691,0.6797,0.6652
25.0,0.6762,0.6619,0.6456
26.0,0.6621,0.6449,0.6261
27.0,0.649,0.6288,0.6069
28.0,0.637,0.614,0.588
29.0,0.6261,0.6003,0.5689
30.0,0.6161,0.5874,0.5491
31.0,0.6066,0.5753,0.5293
32.0,0.5976,0.5636,0.5102
33.0,0.589,0.5523,0.4921
34.0,0.5805,0.5411,0.4759
35.0,0.572,0.53,0.462
36.0,0.5636,0.5189,0.4498
37.0,0.5553,0.5081,0.4382
38.0,0.5473,0.4974,0.4273
39.0,0.5394,0.487,0.4174
40.0,0.5317,0.4768,0.4086
41.0,0.5243,0.4668,0.4011
42.0,0.517,0.457,0.395
43.0,,,
