day,FuXi-S2S_COR,ECMWF_fuxi_COR,FengWu-W2S_o_ACC,FengWu-W2S_m_ACC,ECMWF_fengwu_ACC,Canglong_V35_COR,FuXi_COR_std,Canglong_COR_std,Canglong_eval_COR,Canglong_eval_std,FuXi_eval_COR,FuXi_eval_std,GEFS_COR,GEFS_COR_std,IFS_proxy_COR,IFS_proxy_std
0,0.95,0.952,,,,,,,,,,,,,,
1,0.9483,0.9489,1.0,1.0,0.98,,,,,,,,,,,
2,0.945,0.9443,0.999,0.999,0.9782,,,,,,,,,,,
3,0.9405,0.9382,0.9963,0.9964,0.9748,,,,,,,,,,,
4,0.9349,0.9311,0.992,0.9923,0.9699,,,,,,,,,,,
5,0.9284,0.923,0.9867,0.9871,0.9639,,,,,,,,,,,
6,0.9214,0.9142,0.9806,0.9813,0.9572,,,,,,,,,,,
7,0.914,0.905,0.974,0.975,0.95,0.9,0.007085,0.0022294,0.8106407612542966,0.0379358906793529,0.9398893997121331,0.006524572872338095,0.9387871586552362,0.005881614064188321,0.9776111908137916,0.0034023426476115226
8,0.905,0.8941,0.9649,0.9668,0.9411,,,,,,,,,,,
9,0.8934,0.8805,0.9516,0.9553,0.9294,,,,,,,,,,,
10,0.8799,0.865,0.9353,0.9413,0.9156,,,,,,,,,,,
11,0.8649,0.848,0.917,0.9254,0.9002,,,,,,,,,,,
12,0.8492,0.8303,0.8978,0.9085,0.8839,,,,,,,,,,,
13,0.8334,0.8124,0.8788,0.8911,0.8673,,,,,,,,,,,
14,0.818,0.795,0.861,0.874,0.851,0.812,0.032075,0.032373,0.6018487554053406,0.0736914294671114,0.847610697395741,0.02877754395323989,0.762693270592493,0.024782242809251596,0.9070266805175252,0.011879581233680186
15,0.8026,0.7777,0.8438,0.8563,0.8345,,,,,,,,,,,
16,0.7865,0.7599,0.8259,0.8369,0.817,,,,,,,,,,,
17,0.7698,0.7416,0.8077,0.8165,0.7988,,,,,,,,,,,
18,0.7529,0.7229,0.7896,0.7955,0.7801,,,,,,,,,,,
19,0.736,0.704,0.7717,0.7746,0.761,,,,,,,,,,,
20,0.7193,0.685,0.7544,0.7542,0.7419,,,,,,,,,,,
21,0.703,0.666,0.738,0.735,0.723,0.698,0.028718,0.0238743,0.4663358212036132,0.12419112973001567,0.7052863720629746,0.025582928423491986,,,,
22,0.6869,0.6463,0.7221,0.7165,0.704,,,,,,,,,,,
23,0.6706,0.6256,0.7064,0.6979,0.6847,,,,,,,,,,,
24,0.6544,0.6046,0.691,0.6797,0.6652,,,,,,,,,,,
25,0.6384,0.5838,0.6762,0.6619,0.6456,,,,,,,,,,,
26,0.6229,0.5638,0.6621,0.6449,0.6261,,,,,,,,,,,
27,0.608,0.5454,0.649,0.6288,0.6069,,,,,,,,,,,
28,0.594,0.529,0.637,0.614,0.588,0.579,0.056598,0.0583614,0.3924890443292013,0.16423636150688997,0.5761329288672355,0.05062190479247279,,,,
29,0.5806,0.5145,0.6261,0.6003,0.5689,,,,,,,,,,,
30,0.5676,0.5012,0.6161,0.5874,0.5491,,,,,,,,,,,
31,0.5551,0.4888,0.6066,0.5753,0.5293,,,,,,,,,,,
32,0.543,0.477,0.5976,0.5636,0.5102,,,,,,,,,,,
33,0.5314,0.4656,0.589,0.5523,0.4921,,,,,,,,,,,
34,0.5204,0.4543,0.5805,0.5411,0.4759,,,,,,,,,,,
35,0.51,0.443,0.572,0.53,0.462,0.46,0.051442,0.0596632,0.3194173163310034,0.17592797652239126,0.4942811584809433,0.04590620736071163,,,,
36,0.5001,0.4317,0.5636,0.5189,0.4498,,,,,,,,,,,
37,0.4905,0.4205,0.5553,0.5081,0.4382,,0.0538743,,,,,,,,,
38,0.4813,0.4096,0.5473,0.4974,0.4273,,,,,,,,,,,
39,0.4725,0.3988,0.5394,0.487,0.4174,,,,,,,,,,,
40,0.4642,0.3883,0.5317,0.4768,0.4086,,,,,,,,,,,
41,0.4563,0.378,0.5243,0.4668,0.4011,,,,,,,,,,,
42,0.449,0.368,0.517,0.457,0.395,0.394,0.043385,0.06060037,0.2751707848231566,0.14323576502405108,0.4455778097302623,0.03866098504689366,,,,
