row_type,model,variable,lead,tcc_weighted,sample_tcc,sample_id,sample_lat,sample_lon,n_target_weeks,time_start,time_end,grid,sample_grid,sample_seed,sample_size,sample_valid_count,sample_mean,sample_std,tcc_definition,sample_definition
sample,CAS-Canglong,all,1,0.4148821248809548,0.43262381851673126,1.0,-25.0,305.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.4078879803419113,2.0,62.5,5.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.4568304717540741,3.0,-30.0,262.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.4024118036031723,4.0,-45.0,30.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.4705743342638016,5.0,-15.0,92.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.3917521685361862,6.0,-40.0,337.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.22858859598636627,7.0,-25.0,295.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.5439824163913727,8.0,57.5,57.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.5826174765825272,9.0,10.0,57.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.4520050138235092,10.0,7.5,297.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
