Date,Year,Month,SSTA,SSTA_STD,SSTA_01,SSTA_02,SSTA_03,SSTA_04,SSTA_05,SSTA_06,SSTA_07,SSTA_08,SSTA_09,SSTA_10
2026-03,2026,3,-0.342,0.492,-0.929,-1.358,0.189,0.141,-0.133,-0.298,-0.072,0.182,-0.691,-0.456
2026-04,2026,4,-0.79,0.576,-1.529,-1.891,-0.215,0.039,-0.676,-0.746,-0.524,-0.244,-1.123,-0.995
2026-05,2026,5,-1.039,0.501,-1.74,-1.996,-0.615,-0.31,-0.929,-1.018,-0.803,-0.551,-1.319,-1.112
2026-06,2026,6,-1.056,0.511,-1.723,-2.047,-0.671,-0.464,-0.762,-0.899,-0.735,-0.548,-1.475,-1.239
2026-07,2026,7,-1.215,0.582,-1.752,-2.182,-0.758,-0.106,-0.89,-1.704,-0.937,-0.847,-1.594,-1.377
2026-08,2026,8,-1.098,0.507,-1.417,-1.893,-0.741,-0.067,-0.786,-1.453,-0.845,-0.865,-1.609,-1.3
2026-09,2026,9,-1.174,0.519,-1.643,-1.803,-0.706,-0.138,-1.129,-1.812,-0.954,-0.797,-1.602,-1.155
2026-10,2026,10,-1.251,0.461,-1.694,-1.851,-0.725,-0.467,-1.28,-1.82,-1.056,-0.794,-1.571,-1.248
2026-11,2026,11,-1.602,0.785,-2.379,-2.775,-0.884,-0.411,-1.274,-2.672,-1.02,-1.006,-2.13,-1.466
2026-12,2026,12,-1.539,0.689,-2.32,-2.606,-1.029,-0.599,-1.26,-2.472,-0.961,-0.914,-1.902,-1.328
2027-01,2027,1,-1.316,0.69,-2.079,-2.562,-0.871,-0.399,-1.046,-2.095,-0.851,-0.611,-1.632,-1.016
2027-02,2027,2,-1.668,0.615,-2.383,-2.825,-1.275,-0.87,-1.381,-2.317,-1.211,-1.122,-1.908,-1.387
