week,start,end
1,0101,0107
2,0108,0114
3,0115,0121
4,0122,0128
5,0129,0204
6,0205,0211
7,0212,0218
8,0219,0225
9,0226,0303
10,0304,0310
11,0311,0317
12,0318,0324
13,0325,0331
14,0401,0407
15,0408,0414
16,0415,0421
17,0422,0428
18,0429,0505
19,0506,0512
20,0513,0519
21,0520,0526
22,0527,0602
23,0603,0609
24,0610,0616
25,0617,0623
26,0624,0630
27,0701,0707
28,0708,0714
29,0715,0721
30,0722,0728
31,0729,0804
32,0805,0811
33,0812,0818
34,0819,0825
35,0826,0901
36,0902,0908
37,0909,0915
38,0916,0922
39,0923,0929
40,0930,1006
41,1007,1013
42,1014,1020
43,1021,1027
44,1028,1103
45,1104,1110
46,1111,1117
47,1118,1124
48,1125,1201
49,1202,1208
50,1209,1215
51,1216,1222
52,1223,1229
