epoch,train_mse_total,train_mse_surface,train_mse_upper_air,train_focus_loss,train_tweedie_loss,train_acc_surface,train_acc_upper,train_grad_mse_surface,train_grad_mse_upper,train_power_err_surface,train_power_err_upper,train_ssim_surface,train_ssim_upper,train_closure_water,train_closure_energy,train_closure_hydrostatic,train_closure_temperature,train_closure_momentum,valid_mse_total,valid_mse_surface,valid_mse_upper_air,valid_focus_loss,valid_tweedie_loss,valid_acc_surface,valid_acc_upper,valid_grad_mse_surface,valid_grad_mse_upper,valid_power_err_surface,valid_power_err_upper,valid_ssim_surface,valid_ssim_upper,valid_closure_water,valid_closure_energy,valid_closure_hydrostatic,valid_closure_temperature,valid_closure_momentum
1,2.1735662863804746,1.1453873836077177,1.0281788913103251,4.416112569662241,0.057522306147103124,0.5948485188329449,0.22074531299026254,0.07252295630482528,0.18885598675562784,169.73850922401135,174786268002.46155,0.05877243172234067,0.014171678160402315,0.0009216070175170898,0.09216316388203548,0.9603389667776915,-4.0700802436241735e-05,-0.0013992534233973576,1.8034063696861267,0.8470217645168304,0.9563845872879029,4.510703468322754,0.03504623472690582,0.7086919665336608,0.4551680713891983,0.061829257756471634,0.15349482595920563,2.5123047709465025,210709497856.0,-0.0012232194654643535,0.04203764051198959,0.0001016855239868164,-0.14960923194885253,0.9606602117419243,-3.5774707794189456e-05,-0.005520534515380859
2,1.6304242060734675,0.8456028424776517,0.7848213750582475,3.918955454459557,0.038231199678893275,0.7338836559882531,0.521420955657959,0.06538406186378919,0.11685307696461678,3.3272800904053907,140711004160.0,0.1265557695610019,0.06483927834779024,0.0016459822654724121,0.09746077885994545,0.9582275616434904,-2.3906047527606672e-05,0.002503028282752404,1.6440951228141785,0.8681915163993835,0.7759036004543305,4.391664838790893,0.044371236115694046,0.699630206823349,0.5899759352207183,0.06169859208166599,0.1123728983104229,3.575833559036255,169685914214.4,0.13918874263763428,0.20018601715564727,0.011957496404647827,0.11616103649139405,0.9567261189222336,-1.6939640045166015e-05,0.0039886474609375
3,1.481618963755094,0.8093900244969588,0.6722289369656489,3.674579922969525,0.04690825967834546,0.7465673020252814,0.6143130545432751,0.06510959164454387,0.0912119634449482,2.964929544008695,100704961929.84616,0.11263570597825143,0.12969264599422997,0.0031602153411278357,0.040860263200906605,0.9593579723284795,-2.5148575122539813e-05,0.0015903298671428973,1.4639915347099304,0.7679717779159546,0.6960197567939759,3.910851335525513,0.05494855009019375,0.7411232769489289,0.6422980546951294,0.06145070642232895,0.09702344164252281,2.860937762260437,114306685952.0,0.14448522515594958,0.26145942956209184,0.009521853923797608,-0.05802446007728577,0.9582344010472298,-2.1004676818847655e-05,0.004305332899093628
4,1.3415937332006602,0.7386395472746629,0.6029541859259973,3.268208760481614,0.06367299884844285,0.7708290746578803,0.663645320213758,0.06481302486589322,0.07969789035045184,3.1898382627047024,72544584940.3077,0.16286174072592985,0.188865564405345,0.009787112474441528,0.09406543465761039,0.9615664768677491,-2.96785281254695e-05,0.0012618555472447323,1.3971337914466857,0.7592833340167999,0.6378504753112793,3.4656434774398805,0.052336109429597856,0.7528484582901,0.6788323581218719,0.06129501722753048,0.08855757638812065,3.0922956228256226,83474900582.4,0.31654983907938006,0.3068067029118538,0.016626542806625365,0.15552101731300355,0.9615443646907806,-2.4521350860595702e-05,0.0004981100559234619
5,1.2699242738577037,0.7065754028467032,0.5633488767422162,3.0281710716394277,0.059590630376568206,0.7833144618914678,0.690377815411641,0.0645337260972995,0.07361730460364085,3.423543554085952,61369682550.15385,0.12643391807348683,0.24534506221803334,0.00971260666847229,0.09420074178622319,0.9650738055889423,-2.9027462005615234e-05,0.0009025358236753023,1.3491033673286439,0.7443995356559754,0.6047038197517395,3.3334935903549194,0.05495739281177521,0.7506407678127289,0.7000539004802704,0.06109182722866535,0.08202412724494934,2.8048746585845947,68759497830.4,0.2303280308842659,0.33479768931865694,0.0035383224487304686,-0.14223086833953857,0.9662915527820587,-1.876354217529297e-05,-0.002429676055908203
6,1.2344996608220613,0.6875331057952001,0.5469665607580771,2.9501147270202637,0.055199175929793946,0.7898245866482074,0.7017153776608981,0.06438011145935608,0.06921470136596607,3.2295328103579006,54859664935.38461,0.12138371914625168,0.25929646523526084,0.004671841859817505,0.07687716071422283,0.9680050302010316,-3.29430286700909e-05,-0.0008560717105865479,1.2812141060829163,0.6926204562187195,0.5885936379432678,3.1932496070861816,0.05003738291561603,0.7713665127754211,0.7086104691028595,0.06098980829119682,0.07825576066970825,2.982002282142639,68682852761.6,0.2573300629854202,0.3179476946592331,0.013975590467453003,0.040109217166900635,0.9686969384551049,-2.149343490600586e-05,-0.007117938995361328
7,1.1695110981280987,0.6421051781911117,0.5274059119132849,2.803420910468468,0.055477286474062845,0.8060676088699927,0.7138998416753916,0.06403916271833274,0.06468357160114326,3.1618763483487644,41909761654.15385,0.2366450226937349,0.3042677211073729,0.006988488710843599,0.07774035059488736,0.9715792651359851,-3.259457074678861e-05,0.0005860397448906532,1.2546008229255676,0.6810341835021972,0.5735666453838348,3.1611338376998903,0.05595617815852165,0.7764309108257293,0.7178880870342255,0.06078558266162872,0.07452033087611198,3.165397024154663,68147280384.0,0.30151192247867586,0.3847878992557526,-0.01916356086730957,0.13547396659851074,0.9716565787792206,-2.371072769165039e-05,-0.003377115726470947
8,1.1478300048754766,0.6278383984015539,0.5199916099126523,2.812718253869277,0.04980504727707459,0.8106651260302618,0.7185971759832822,0.06386540715511028,0.06222212457886109,2.942983696093926,40535231094.15385,0.22078751819208264,0.29961190773890567,0.0032065556599543644,0.1316212392770327,0.9727430859437356,-3.0192045065072867e-05,-0.0002759832602280837,1.2362577438354492,0.6724265873432159,0.5638311594724655,3.0202067852020265,0.0546453695744276,0.7786090075969696,0.7237347602844239,0.060774021223187445,0.07176537364721298,3.1836207270622254,61297106176.0,0.2320970520377159,0.37044169306755065,-0.0003479659557342529,0.13389832377433777,0.972900377213955,-2.052783966064453e-05,-0.0019057989120483398
9,1.1477710054470942,0.6387495570457898,0.5090214529862771,2.769049103443439,0.04896453424141957,0.8078067188079541,0.7254437001851889,0.06380505530306926,0.05971975595905231,3.297835790193998,36202114185.84615,0.20853847537476283,0.3208607377914282,0.0036592712769141565,0.11307911918713497,0.9741105225223762,-3.505211610060472e-05,0.000751575598349938,1.242229413986206,0.6893259406089782,0.5529034763574601,3.0097595930099486,0.07496089227497578,0.7747701287269593,0.7297472178936004,0.06064235046505928,0.06992823407053947,3.445291614532471,55600028160.0,0.28642782419919965,0.3895831763744354,-0.022713983058929445,0.1598857820034027,0.9739007994532585,-2.3043155670166017e-05,-0.0026338577270507814
10,1.1236204711290507,0.6206774998169678,0.5029429781895417,2.7418638192690334,0.061665091663599014,0.8133797783118027,0.7296000466896937,0.06356329542513077,0.05815122720713799,3.449248533982497,34282282929.23077,0.20338760122943383,0.3340086807998327,-0.00033534948642437276,0.14768542463962847,0.9755137900893505,-3.948119970468374e-05,0.00039078639103816106,1.2067875623703004,0.6617784917354583,0.5450090765953064,2.979365086555481,0.0788925152271986,0.7846372246742248,0.7338371574878693,0.060472911968827245,0.06847073584794998,4.0363356590271,66586944870.4,0.2855500429868698,0.39669528007507326,-0.027835488319396973,0.36238792538642883,0.9742370054125786,-2.790689468383789e-05,0.00022242069244384765
