epoch,train_mse_total,train_mse_surface,train_mse_upper_air,train_focus_loss,train_tweedie_loss,train_acc_surface,train_acc_upper,train_grad_mse_surface,train_grad_mse_upper,train_power_err_surface,train_power_err_upper,train_ssim_surface,train_ssim_upper,train_closure_water,train_closure_energy,train_closure_hydrostatic,train_closure_temperature,train_closure_momentum,valid_mse_total,valid_mse_surface,valid_mse_upper_air,valid_focus_loss,valid_tweedie_loss,valid_acc_surface,valid_acc_upper,valid_grad_mse_surface,valid_grad_mse_upper,valid_power_err_surface,valid_power_err_upper,valid_ssim_surface,valid_ssim_upper,valid_closure_water,valid_closure_energy,valid_closure_hydrostatic,valid_closure_temperature,valid_closure_momentum
1,1.864665081867805,1.0863140798532045,0.7783510157695184,4.028609413367051,0.09384730479751642,0.6175865996270798,0.49578056017008537,0.07165701042574185,0.19812012578432375,192.55597898593317,230290023660.30768,0.09301633923314512,0.1268297017713149,0.0043075199310596175,0.11271478350345905,0.9546507012385589,-1.6368352449857273e-05,0.0011730652589064378,1.5178679943084716,0.8649072885513306,0.6529606997966766,3.929368257522583,0.10074345991015435,0.7012447416782379,0.6700054049491883,0.0617050439119339,0.14885246604681016,2.4840277194976808,201640632012.8,0.09028050601482392,0.3024559125304222,-0.00791257619857788,0.1910899758338928,0.9637709081172943,-1.468658447265625e-05,0.0002236008644104004
2,1.389304546209482,0.8359481623539557,0.5533563804167968,3.425756647036626,0.04285016627265857,0.7353219252366286,0.6958542718337133,0.0652294998558668,0.10592430056287692,3.150315284729004,115464617058.46153,0.13650598237290978,0.26738060194139296,-0.0008168472693516657,0.11364272007575402,0.9704085066914558,-2.2525970752422625e-05,-0.0013527916027949406,1.3690553188323975,0.7861816108226776,0.5828737318515778,3.820284104347229,0.032675853557884695,0.7331465065479279,0.7119545817375184,0.06152869425714016,0.10056387558579445,2.805951476097107,156745126323.2,0.15433797165751456,0.3326081857085228,0.0027881920337677,0.16734039187431335,0.975170123577118,-1.6140937805175782e-05,-0.0006838917732238769
3,1.2757768355883086,0.7623114242003515,0.5134653964867959,3.257777608357943,0.04891601348152527,0.762571625984632,0.7220235650356,0.0649236377615195,0.08017181948973583,3.047343290769137,79978301779.6923,0.17979472438589886,0.315896666680391,0.0028810982520763692,0.13770815271597642,0.9768084253256137,-2.2250872391920824e-05,-0.0010988001640026385,1.3334708213806152,0.7819885611534119,0.5514822691679001,3.5665390729904174,0.03507583849132061,0.7376235961914063,0.7300307869911193,0.06139326393604279,0.08800745978951455,3.3051613569259644,93520702899.2,0.24640643894672393,0.37049410343170164,0.014380288124084473,0.3483771622180939,0.9786916851997376,-1.5616416931152344e-05,-0.0005554556846618652
4,1.2075400535876935,0.7119560264624082,0.4955840397339601,3.078156599631676,0.05434782666942248,0.7803988571350391,0.7334574369283823,0.06454615552838032,0.07093331318062085,3.3949393950975857,56043686980.92308,0.19406426418572664,0.3785344004057921,0.008705492203052227,0.13631838330855736,0.9802447872666212,-2.1457672119140625e-05,-0.0012235710254082312,1.2703071355819702,0.7308828473091126,0.5394242823123931,3.1975436210632324,0.0580985426902771,0.756870585680008,0.7370086431503295,0.061152546852827075,0.07961447983980179,3.869705152511597,64534749388.8,0.15025740638375282,0.37183943688869475,0.011529946327209472,0.15812239646911622,0.9809460833668708,-1.113414764404297e-05,-0.0011487007141113281
5,1.1704289592229402,0.6813416022520798,0.4890873512396446,2.894252437811631,0.04369105169406304,0.7936655145425063,0.7378005706346952,0.06425403474042049,0.06735125055106786,3.3217418652314405,43285045056.0,0.18576273700007453,0.35920097621587604,0.007893654016348032,0.05231654873261085,0.9819624647498131,-2.2090398348294773e-05,-0.0019814784710223857,1.2507399678230287,0.7118545591831207,0.5388854026794434,3.178634262084961,0.03359049614518881,0.7635946869850159,0.7372768759727478,0.06105069816112518,0.07614813446998596,3.356520342826843,67911789798.4,0.15659987702965736,0.3839817076921463,0.013839846849441529,0.048214292526245116,0.9825037479400635,-1.3470649719238281e-05,-0.0029124140739440916
6,1.135879064981754,0.6507374025308169,0.4851416670359098,2.8096561156786404,0.05427992981500351,0.8024719197016495,0.7404280304908752,0.064044208624042,0.06340880505740643,3.3689718338159413,41354343478.15385,0.21845107883788073,0.38554243743419647,0.007421766336147602,0.11317726511221665,0.9833780601620674,-2.3520909822904148e-05,-0.001985490322113037,1.203595221042633,0.6833556592464447,0.5202395707368851,3.083862638473511,0.08247754387557507,0.7764744222164154,0.7477614641189575,0.0608342319726944,0.07197217643260956,4.245266103744507,52500621312.0,0.21033263057470322,0.43676868081092834,-0.011995303630828857,-0.05363677144050598,0.9835380509495735,-1.94549560546875e-05,-0.0017673254013061523
7,1.1026199872677143,0.6232540756464005,0.47936590015888214,2.743594866532546,0.047904726261129744,0.8124009875150827,0.7436255514621735,0.0637918970046135,0.06072455386702831,3.2096523229892435,39151392802.46154,0.19837737584916446,0.3944853200362279,0.005267198269183819,0.1598060497870812,0.9842810218150799,-2.1269688239464394e-05,-0.0017455082673292893,1.2076985001564027,0.6816746056079864,0.5260239034891129,2.995422840118408,0.04554671421647072,0.7792401969432831,0.7444484412670136,0.06072308234870434,0.07045129537582398,4.411808490753174,59653704345.6,0.27541406750679015,0.4001394510269165,-0.0032895267009735107,0.29022573828697207,0.9845017090439796,-1.1110305786132813e-05,-0.0016708970069885254
8,1.0852760764268727,0.6097241743252828,0.47555189063915837,2.7006312792117777,0.045356973504217774,0.8168300000520853,0.746190763436831,0.06359384910991558,0.058639768367776506,3.444051293226389,33742498446.76923,0.27396863297774243,0.3909246755334047,0.003453600865143996,0.13444278102654678,0.9850960517158875,-2.0687396709735578e-05,-0.0016666100575373722,1.1785162091255188,0.6626898646354675,0.5158263474702836,2.947961163520813,0.06080276519060135,0.7846390187740326,0.7504366993904114,0.060576700046658515,0.06924471631646156,4.211991810798645,48560366604.8,0.27082509696483614,0.4266682773828506,0.009578287601470947,0.3257288455963135,0.9844489201903344,-1.8191337585449218e-05,-0.0022815585136413572
9,1.0648191685859973,0.592645512177394,0.47217365411611706,2.6795690884956946,0.04313453301214255,0.8227389752864838,0.7481736770043006,0.06340282453367344,0.05761279366337336,3.6415331547076883,31582466582.153847,0.2176707285330989,0.3868333975282999,-0.000989764928817749,0.17613581739939177,0.9853267887463937,-2.2443441244272086e-05,-0.0018402544351724477,1.1721575379371643,0.6611849248409272,0.510972598195076,2.991127681732178,0.03569826688617468,0.7861576020717621,0.7530296742916107,0.060539623722434044,0.06723360382020474,4.864013528823852,47984990425.6,0.2163872539997101,0.4534013867378235,0.0011396050453186036,0.165139901638031,0.9847978845238685,-2.0492076873779298e-05,-0.0009827971458435058
10,1.0440285549714015,0.5757796878998096,0.4682488670715919,2.670977601638207,0.05032248945476917,0.8282782435417175,0.750576491539295,0.0632213527479997,0.05598536491967165,3.758110147256118,28136556000.0,0.2706761567925031,0.40898843510792804,0.0034304971878345194,0.1506177347439986,0.9863249877324471,-2.47955322265625e-05,-0.0016479217089139498,1.1437184810638428,0.6352364242076873,0.5084820777177811,2.9622271060943604,0.05857276283204556,0.7950912892818451,0.754480630159378,0.06037749201059341,0.0659985288977623,5.165131139755249,48265328537.6,0.28754710853099824,0.4365742802619934,0.012762433290481568,0.307759290933609,0.9857272177934646,-1.7178058624267577e-05,-0.0015205979347229005
