epoch,train_mse_total,train_mse_surface,train_mse_upper_air,train_focus_loss,train_tweedie_loss,train_acc_surface,train_acc_upper,train_grad_mse_surface,train_grad_mse_upper,train_power_err_surface,train_power_err_upper,train_ssim_surface,train_ssim_upper,train_closure_water,train_closure_energy,train_closure_hydrostatic,train_closure_temperature,train_closure_momentum,valid_mse_total,valid_mse_surface,valid_mse_upper_air,valid_focus_loss,valid_tweedie_loss,valid_acc_surface,valid_acc_upper,valid_grad_mse_surface,valid_grad_mse_upper,valid_power_err_surface,valid_power_err_upper,valid_ssim_surface,valid_ssim_upper,valid_closure_water,valid_closure_energy,valid_closure_hydrostatic,valid_closure_temperature,valid_closure_momentum
1,2.066142132649055,1.0925927185095274,0.97354944394185,4.319171016032879,0.12126034390754424,0.6189678581789709,0.30436506283541137,0.0739518293681053,0.2372120819412745,249.65718596256696,222871175798.15384,0.08795202227730232,0.030085432114831816,0.0007647459323589618,0.024523652516878568,0.9465794941553702,-0.00010288678682767428,-0.0033732904837681698,1.7204105019569398,0.8662818253040314,0.8541286766529084,4.457091736793518,0.06933820061385632,0.7028824985027313,0.5319359779357911,0.06173429675400257,0.19006742388010026,2.6440410375595094,226250475520.0,0.16783453524112701,0.17129620686173438,-0.001703035831451416,-0.16317572593688964,0.9507072493433952,-6.264448165893555e-05,-0.0026416897773742674
2,1.5861538556905894,0.8735903409811167,0.712563517001959,3.870187759399414,0.052686828976640336,0.7227575366313641,0.5813104143509498,0.06530673214449333,0.1542181303867927,2.755994053987356,141252807837.53845,0.11559977523910885,0.11408191460829514,0.001674594787450937,0.08729898241850045,0.9587447987152979,-6.184211144080528e-05,5.416228221012996e-05,1.5123852491378784,0.7953085660934448,0.7170766890048981,4.174816513061524,0.04000760428607464,0.7298871219158173,0.6288212358951568,0.061683572828769684,0.15489655286073684,3.675779843330383,172740998144.0,0.1071845980361104,0.23569475561380387,0.001251065731048584,0.2560377061367035,0.9643476381897926,-5.551576614379883e-05,-0.0006683111190795898
3,1.399759787779588,0.7953067284363967,0.604453057050705,3.5005232829314012,0.056639024056494236,0.751235482784418,0.6610028033073132,0.0650726705789566,0.1233394925410931,3.3358608851066003,132242696999.38461,0.13348689009077275,0.17927196891441083,0.003194112044114333,0.06478136090131906,0.9686470673634455,-7.061316416813777e-05,-0.0013074599779569185,1.4084604620933532,0.7760839641094208,0.632376492023468,3.717601680755615,0.052287207916378975,0.7380043983459472,0.6817034661769867,0.061564986035227774,0.12923382967710495,3.6267443656921388,141632310988.8,0.07002211958169938,0.33291020840406416,0.0013393819332122802,0.3917143166065216,0.9705016538500786,-4.925727844238281e-05,-0.0015169858932495117
4,1.3027987480163574,0.7428144629185016,0.5599842828053695,3.202320043857281,0.07142537029889914,0.7699820353434637,0.6911533979269174,0.0648645251416243,0.10634853948767369,3.766306455318744,99619336664.61539,0.17320851279565921,0.26259485030403507,0.008775018728696383,0.16416204663423392,0.9737372048772298,-0.00013714111768282377,-0.002084076404571533,1.3772199392318725,0.7748439133167266,0.6023760437965393,3.566991448402405,0.07753566354513168,0.7382236301898957,0.7005195438861846,0.06129350103437901,0.10674975216388702,3.6006715536117553,108021056000.0,0.10716806352138519,0.35359852612018583,0.010864943265914917,0.25052011013031006,0.9747599065303802,-0.00015593767166137694,-0.0019860625267028808
5,1.2515963889085329,0.7245727983804849,0.5270235870893185,3.054349394944998,0.07874101192618792,0.7774625351795783,0.7132174831170303,0.06450840687522522,0.08540000766515732,3.620870801118704,63668952723.69231,0.18514968153948969,0.30478793812485844,0.0059665166414701026,0.10220788075373723,0.9787368338841659,-0.00021827220916748047,-0.0023032793631920447,1.2829399347305297,0.7220641732215881,0.5608757615089417,3.4057727336883543,0.04615795910358429,0.7602770864963532,0.7245861709117889,0.06110652796924114,0.09179276153445244,3.327400064468384,83647441049.6,0.14878774657845498,0.3847133904695511,-0.0010618627071380614,0.15095832347869872,0.9781970039010048,-0.00017344951629638672,-0.001932978630065918
6,1.17601988865779,0.6706212781942807,0.5053986127559955,2.914295957638667,0.06061484027080811,0.7960235545268426,0.7274359166622162,0.06424615990657073,0.07278660412591237,3.893444006259625,47738701174.15385,0.16866707800027841,0.33646715260468996,0.010744663385244517,0.12988572625013498,0.981725519666305,-0.0003385222875154935,-0.0022682547569274902,1.2667577862739563,0.7199280560016632,0.5468297302722931,3.3780590534210204,0.03228156473487616,0.7634948313236236,0.7328931391239166,0.06093618683516979,0.08085602968931198,4.8562757730484005,62378830054.4,0.2710187330842018,0.36761374324560164,0.002811712026596069,0.197572785615921,0.9810102820396424,-0.0002618193626403809,-0.002101743221282959
7,1.1365654491461241,0.6408102775995548,0.4957551554991649,2.8207587737303514,0.06080290560538952,0.8073857036920694,0.73375626710745,0.06389184009570342,0.06748671801044391,4.170618644127479,37980209683.69231,0.21490051027817222,0.3631844623730733,-0.0008998283973106971,0.16593097494198725,0.9828996744293433,-0.0002834155009343074,-0.0018728925631596493,1.2317874670028686,0.697962087392807,0.5338253498077392,3.173236846923828,0.04486330896615982,0.7696502983570099,0.7402524411678314,0.06070369482040405,0.07665776535868644,4.317469072341919,50422762547.2,0.12891863798722625,0.43599826395511626,-0.011260497570037841,0.20854767560958862,0.9825168684124946,-0.00014002323150634765,-0.002174985408782959
8,1.110778991992657,0.6211485530321414,0.4896304401067587,2.770451774963966,0.05896196306611483,0.8133261570563683,0.737363345347918,0.0636342355551628,0.06643878023784894,3.529669532409081,34774568551.38461,0.23527315438080293,0.3468194519384549,0.0017100664285513072,0.1547013154396644,0.9834665174667652,-0.00015838329608623797,-0.0020053936884953426,1.2128363251686096,0.6822925508022308,0.5305437713861465,3.096045970916748,0.06261559985578061,0.776413518190384,0.7423892498016358,0.060712674632668495,0.08060242161154747,4.563369488716125,52454923212.8,0.2785852700471878,0.4132387638092041,0.004389601945877075,0.36851332783699037,0.9805569723248482,-0.00013546943664550782,-0.0012147903442382812
9,1.0992485216030707,0.6143677418048565,0.4848807752132416,2.735188080714299,0.059090424687243424,0.8151752329789675,0.7403102608827444,0.063524793403653,0.06504043936729431,3.519721654745249,27562318818.46154,0.33077303105248856,0.36972680114782774,0.00460668710561899,0.15686862285320574,0.9841353045060084,-0.00019819002885084885,-0.0016300036356999325,1.1841662168502807,0.6578361749649048,0.5263300329446793,3.058658266067505,0.0497286818921566,0.7839886605739593,0.7448803126811981,0.06057996302843094,0.07492491155862809,3.9376627683639525,43353446105.6,0.3308572441339493,0.3999213337898254,-0.0017446398735046387,0.37475218772888186,0.9837556958198548,-0.00010706186294555664,-0.001038670539855957
10,1.0787503673480108,0.5981935262680054,0.4805568376412758,2.7204153629449697,0.04218792335058634,0.8205257493716019,0.7431505207832043,0.06333843332070571,0.06172212370886253,3.780041272823627,27126619505.23077,0.2698217753607493,0.3670925386250019,0.00034501002385066106,0.19557913908591637,0.9848459981955014,-0.0002486155583308293,-0.0017060041427612305,1.1837572932243348,0.6603960931301117,0.5233611822128296,3.0170681476593018,0.053958886116743085,0.7850077748298645,0.7461385905742646,0.06042930856347084,0.07431375235319138,5.551092052459717,51788040179.2,0.33231728821992873,0.43139977753162384,-0.006279081106185913,0.07015716433525085,0.9836237460374833,-0.0001657843589782715,-0.001579880714416504
