Metric,base0,baseline,water,energy,hydrostatic,temperature,momentum,full
valid_mse_total,1.095439,1.095800,1.140903,1.202475,1.334077,1.109798,1.127443,1.263245
valid_mse_surface,0.598262,0.600115,0.645850,0.700727,0.799224,0.610208,0.613803,0.743934
valid_mse_upper_air,0.497177,0.495685,0.495053,0.501748,0.534852,0.499590,0.513641,0.519310
valid_acc_surface,0.808400,0.806352,0.796669,0.768914,0.728355,0.803641,0.801772,0.751426
valid_acc_upper,0.760748,0.761594,0.762135,0.758188,0.739780,0.759370,0.751984,0.748795
valid_ssim_surface,0.406388,0.365197,0.291775,0.132505,0.222501,0.322249,0.303650,0.395130
valid_ssim_upper,0.462190,0.460682,0.454418,0.432675,0.362504,0.434365,0.421007,0.430381
valid_grad_mse_surface,0.059508,0.059399,0.059065,0.061104,0.061575,0.059357,0.059574,0.060895
valid_grad_mse_upper,0.060811,0.061716,0.060110,0.061978,0.062094,0.061668,0.060556,0.062193
valid_closure_water,-0.031772,-0.002102,0.066568,-0.001372,0.007642,-0.010623,-0.028038,0.013714
valid_closure_energy,0.309511,0.272953,0.118997,0.750060,0.102804,0.388900,0.171883,0.636739
valid_closure_hydrostatic,0.986937,0.986973,0.987451,0.987182,0.995386,0.986599,0.981816,0.994515
valid_closure_temperature,-0.000020,-0.000034,-0.000028,-0.000020,-0.000032,-0.000088,-0.000058,-0.000201
valid_closure_momentum,-0.002664,-0.000747,-0.000528,-0.000935,-0.001434,-0.001389,0.000936,-0.001250
