epoch,train_total,train_surface,train_upper_air,valid_total,valid_surface,valid_upper_air
1,1.994108,1.20198,0.792128,1.552732,0.900687,0.652045
2,1.428395,0.871719,0.556676,1.35838,0.773509,0.584871
3,1.275888,0.758344,0.517544,1.297046,0.740731,0.556315
4,1.209493,0.709073,0.50042,1.249007,0.71102,0.537986
5,1.169499,0.676094,0.493406,1.237272,0.702839,0.534433
6,1.131592,0.645982,0.485609,1.255742,0.727468,0.528274
7,1.120186,0.640067,0.480119,1.21727,0.694531,0.522738
8,1.090054,0.614276,0.475777,1.229343,0.707621,0.521722
9,1.082585,0.608238,0.474347,1.192218,0.679978,0.51224
10,1.057124,0.587016,0.470108,1.151673,0.642586,0.509087
11,1.034333,0.567647,0.466686,1.157445,0.647613,0.509832
12,1.043398,0.575861,0.467537,1.166019,0.66145,0.50457
13,1.034408,0.568268,0.46614,1.16224,0.660629,0.501611
14,1.033208,0.570096,0.463112,1.117668,0.615641,0.502027
15,1.010077,0.547795,0.462282,1.127188,0.627781,0.499406
16,0.999585,0.539725,0.45986,1.12683,0.627849,0.498981
17,1.010388,0.550761,0.459627,1.120227,0.618878,0.50135
18,1.002458,0.544252,0.458205,1.122093,0.625402,0.496692
19,0.983695,0.528626,0.455069,1.105959,0.609118,0.496841
20,0.977575,0.521416,0.456159,1.106591,0.608177,0.498414
21,0.971412,0.517028,0.454383,1.12575,0.626659,0.499092
22,0.977071,0.521801,0.45527,1.113506,0.614858,0.498648
23,0.964576,0.512472,0.452104,1.126358,0.630208,0.49615
24,0.963373,0.511573,0.4518,1.101529,0.60572,0.495809
25,0.960213,0.507762,0.452452,1.125165,0.627991,0.497174
26,0.964001,0.513062,0.45094,1.118883,0.618859,0.500024
27,0.96459,0.5124,0.45219,1.096611,0.600049,0.496562
28,0.953007,0.504173,0.448834,1.10973,0.616155,0.493575
29,0.941334,0.494417,0.446917,1.08519,0.591943,0.493247
30,0.934508,0.489452,0.445057,1.106513,0.60932,0.497193
31,0.946677,0.500661,0.446015,1.089064,0.59694,0.492123
32,0.940146,0.495094,0.445052,1.10855,0.608602,0.499948
33,0.941377,0.493486,0.447891,1.09348,0.595948,0.497532
34,0.936579,0.492317,0.444262,1.097869,0.601837,0.496032
35,0.918016,0.477906,0.440109,1.115277,0.624656,0.490622
36,0.918636,0.478464,0.440172,1.097249,0.604009,0.49324
37,0.917505,0.474927,0.442578,1.112455,0.608313,0.504142
38,0.916498,0.475632,0.440866,1.108451,0.609101,0.499349
39,0.911188,0.472955,0.438233,1.089641,0.595372,0.494269
40,0.916652,0.479383,0.437269,1.093105,0.597456,0.495649
41,0.914516,0.473771,0.440745,1.086511,0.589822,0.496689
42,0.9036,0.462866,0.440734,1.120593,0.61814,0.502453
43,0.920579,0.481541,0.439039,1.123957,0.619013,0.504943
44,0.897977,0.462532,0.435445,1.090874,0.590961,0.499913
45,0.88516,0.449348,0.435813,1.108081,0.611915,0.496165
46,0.892644,0.456296,0.436348,1.094957,0.60107,0.493887
47,0.877269,0.445367,0.431902,1.114437,0.61147,0.502967
48,0.875661,0.444581,0.43108,1.129997,0.627284,0.502713
49,0.882851,0.45182,0.431031,1.095041,0.599672,0.495369
50,0.873034,0.440056,0.432977,1.102722,0.606161,0.496562
