variable,level,mean,std
surface_latent_heat_flux,all,-5410301.5,5349063.5
u10,all,-0.068418466,4.427545547
d2m,all,274.2094421,20.45770073
msl,all,100972.3438,1191.102417
u_component_of_wind,0,1.374536991,6.700420856
u_component_of_wind,1,3.290786982,7.666454315
u_component_of_wind,2,6.491596222,9.875613213
u_component_of_wind,3,11.66026878,14.00845909
tsrc,all,856148,534222.125
crr,all,1.29E-05,2.97E-05
v_component_of_wind,0,0.146550566,3.75399971
v_component_of_wind,1,0.022800878,4.179731846
v_component_of_wind,2,-0.025720235,5.324173927
v_component_of_wind,3,-0.027837994,7.523460865
lsrr,all,1.10E-05,2.55E-05
siconc,all,0.785884917,0.914535105
specific_humidity,0,0.004610791,0.003879665
specific_humidity,1,0.002473272,0.002312181
specific_humidity,2,0.000875093,0.000944978
specific_humidity,3,0.000130984,0.000145811
tciw,all,0.022627383,0.023428712
temperature,0,274.8048401,15.28209305
temperature,1,267.6254578,14.55300999
temperature,2,253.1627655,12.77071381
temperature,3,229.0860138,10.5536499
fraction_of_cloud_cover,0,0.152513072,0.15887706
fraction_of_cloud_cover,1,0.106524825,0.144112185
fraction_of_cloud_cover,2,0.105878539,0.112193666
fraction_of_cloud_cover,3,0.108120449,0.108371623
swvl,all,0.34216917,0.5484813
v10,all,0.197138891,3.09530735
t2m,all,278.7841187,21.03286934
surface_sensible_heat_flux,all,-971651.375,2276764.75
geopotential,0,13763.50879,1403.990112
geopotential,1,28954.94531,2085.838867
geopotential,2,54156.85547,3300.384277
geopotential,3,89503.79688,5027.79541
vertical_velocity,0,0.011849277,0.126232564
vertical_velocity,1,0.002759292,0.097579598
vertical_velocity,2,0.000348145,0.072489716
vertical_velocity,3,0.000108061,0.049831692
tcc,all,0.673692584,0.235167906
sp,all,96651.14063,9569.695313
sst,all,189.7337189,136.1803131
