Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,7.5492,0.9488,2.8817,0.5259,0.6446
CAS-Canglong,2,7.0637,0.9387,3.0040,0.5233,0.6462
CAS-Canglong,3,8.5399,0.9511,3.0182,0.5188,0.6572
CAS-Canglong,4,9.2699,0.9347,3.1227,0.5208,0.6517
CAS-Canglong,5,7.5902,0.9185,2.8573,0.3158,0.6367
CAS-Canglong,6,9.8832,0.9018,2.9299,0.3293,0.6131
ECMWF,1,2.1862,0.9733,55.2819,0.5593,0.6832
ECMWF,2,2.3509,0.9674,55.8873,0.5577,0.6462
ECMWF,3,3.0666,0.9402,58.9990,0.5948,0.6241
ECMWF,4,3.1052,0.9378,66.2673,0.3005,0.5965
ECMWF,5,2.8111,0.9500,57.9997,0.4953,0.6919
ECMWF,6,3.4130,0.9185,56.9287,0.4431,0.6351
