Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,8.8094,0.9859,2.2439,0.1135,0.6891
CAS-Canglong,2,8.6723,0.9835,2.3023,0.1143,0.6816
CAS-Canglong,3,10.4666,0.9654,3.5720,0.3202,0.6224
CAS-Canglong,4,9.9857,0.9650,3.9717,0.3232,0.6039
CAS-Canglong,5,8.5731,0.9761,2.2709,0.1006,0.6991
CAS-Canglong,6,10.3677,0.9719,2.4223,0.0979,0.7015
ECMWF,1,2.1161,0.9565,37.0711,0.1736,0.5836
ECMWF,2,2.5293,0.9452,30.8168,0.1449,0.4352
ECMWF,3,1.9588,0.9762,61.6812,0.1209,0.4352
ECMWF,4,2.9268,0.9742,33.1029,0.0917,0.5117
ECMWF,5,3.0650,0.9751,33.3251,0.0555,0.4887
ECMWF,6,2.1564,0.9732,43.3069,-0.0541,0.5358
