Model,Lead_Time,Temp_RMSE,Temp_ACC,Precip_RMSE,Precip_ACC,SPEI_Agreement
CAS-Canglong,1,5.6939,0.9674,2.2635,0.3003,0.7605
CAS-Canglong,2,5.2601,0.9616,2.2949,0.3059,0.7451
CAS-Canglong,3,4.0521,0.9440,2.3520,0.2346,0.7665
CAS-Canglong,4,4.3097,0.9324,2.4673,0.2385,0.7653
CAS-Canglong,5,3.3666,0.9488,2.2599,0.1986,0.7588
CAS-Canglong,6,3.8905,0.9363,2.3083,0.2071,0.7565
ECMWF,1,3.5313,0.9517,31.8939,0.5604,0.7327
ECMWF,2,4.2141,0.9317,31.7228,0.2629,0.6606
ECMWF,3,3.9427,0.9313,34.7485,0.4110,0.6037
ECMWF,4,5.0198,0.9165,27.5644,0.2637,0.6033
ECMWF,5,4.4876,0.8938,29.3743,0.2459,0.6280
ECMWF,6,4.8159,0.8928,36.5541,0.1221,0.5142
