time,epoch,lr,phys_scale,train_total,train_surface,train_upper,train_focus_w,train_tweedie_w,train_water_w,train_energy_w,train_pressure_w,train_temp_w,train_mom_w,valid_total,valid_surface,valid_upper,valid_focus_w,valid_tweedie_w,valid_water_w,valid_energy_w,valid_pressure_w,valid_temp_w,valid_mom_w,skipped,valid_skipped
2026-01-23 22:27:40,1/500,1.000000e-04,1.000,1.414460,0.372209,0.463532,0.215211,0.224901,0.040106,0.037460,0.058893,0.000015,0.002133,1.471252,0.352666,0.453465,0.259722,0.288673,0.023984,0.044239,0.048169,0.000002,0.000331,0,0
2026-01-23 23:35:45,2/500,2.000000e-04,0.996,1.123433,0.299435,0.410571,0.197865,0.161964,0.016930,0.014075,0.022457,0.000004,0.000133,1.402348,0.344474,0.446650,0.251258,0.288225,0.019083,0.029778,0.022801,0.000003,0.000076,0,0
2026-01-24 00:43:46,3/500,2.000000e-04,0.992,1.074557,0.284567,0.405038,0.192912,0.154068,0.013021,0.010574,0.014342,0.000003,0.000032,1.443478,0.354657,0.441131,0.251538,0.324411,0.018869,0.033056,0.019793,0.000004,0.000019,0,0
2026-01-24 01:51:47,4/500,1.999981e-04,0.988,1.055125,0.278203,0.402321,0.190391,0.151129,0.011511,0.009506,0.012050,0.000003,0.000012,1.406123,0.357475,0.440522,0.250507,0.289320,0.019321,0.029178,0.019785,0.000004,0.000010,0,0
2026-01-24 02:59:47,5/500,1.999924e-04,0.984,1.036276,0.270339,0.399997,0.188231,0.148821,0.009894,0.008349,0.010636,0.000003,0.000005,1.432445,0.377806,0.438870,0.252303,0.240558,0.017197,0.085155,0.020547,0.000005,0.000004,0,0
2026-01-24 04:07:47,6/500,1.999830e-04,0.980,1.023826,0.265681,0.398506,0.186373,0.146366,0.008973,0.008257,0.009665,0.000003,0.000003,1.419709,0.360489,0.437927,0.249374,0.205471,0.014927,0.127757,0.023759,0.000002,0.000003,0,0
2026-01-24 05:15:42,7/500,1.999698e-04,0.976,1.010882,0.260525,0.396964,0.184656,0.144362,0.007621,0.007958,0.008792,0.000003,0.000002,1.329961,0.323698,0.434947,0.244971,0.207342,0.010073,0.084834,0.024090,0.000004,0.000002,0,0
2026-01-24 06:23:31,8/500,1.999527e-04,0.972,0.997033,0.255182,0.395683,0.183144,0.142726,0.006482,0.006093,0.007718,0.000004,0.000002,1.226194,0.315664,0.433307,0.239063,0.192011,0.007605,0.024217,0.014324,0.000002,0.000002,0,0
2026-01-24 07:31:20,9/500,1.999320e-04,0.968,0.986379,0.251464,0.394294,0.181627,0.141238,0.005523,0.005240,0.006989,0.000004,0.000002,1.208758,0.299663,0.433126,0.238142,0.195589,0.006348,0.024742,0.011144,0.000003,0.000002,0,0
2026-01-24 08:39:13,10/500,1.999074e-04,0.964,0.978016,0.248895,0.392841,0.180353,0.139925,0.004857,0.004861,0.006278,0.000004,0.000002,1.180158,0.291612,0.431120,0.234845,0.187470,0.007398,0.015502,0.012204,0.000005,0.000002,0,0
2026-01-24 09:47:01,11/500,1.998790e-04,0.960,0.971153,0.246741,0.391657,0.179283,0.139014,0.004268,0.004359,0.005826,0.000004,0.000002,1.166648,0.287789,0.428648,0.233830,0.186468,0.006233,0.014685,0.008990,0.000003,0.000001,0,0
2026-01-24 10:54:44,12/500,1.998469e-04,0.956,0.966307,0.245439,0.390612,0.178488,0.138399,0.003884,0.004066,0.005413,0.000004,0.000002,1.154270,0.286945,0.429685,0.231105,0.185734,0.005330,0.007598,0.007869,0.000003,0.000002,0,0
2026-01-24 12:02:30,13/500,1.998110e-04,0.952,0.961870,0.244049,0.389737,0.177701,0.137777,0.003609,0.003842,0.005150,0.000004,0.000002,1.157610,0.283117,0.428130,0.230677,0.196791,0.004758,0.006746,0.007388,0.000001,0.000001,0,0
2026-01-24 13:10:14,14/500,1.997714e-04,0.948,0.958429,0.243014,0.388910,0.177197,0.137207,0.003407,0.003697,0.004991,0.000004,0.000002,1.155340,0.279040,0.427174,0.230644,0.198390,0.004586,0.007235,0.008267,0.000002,0.000001,0,0
2026-01-24 14:17:59,15/500,1.997279e-04,0.944,0.954637,0.241930,0.387938,0.176580,0.136838,0.003184,0.003539,0.004621,0.000004,0.000002,1.141263,0.281043,0.426336,0.229227,0.187145,0.004511,0.006423,0.006574,0.000003,0.000002,0,0
2026-01-24 15:25:47,16/500,1.996807e-04,0.940,0.951516,0.241010,0.387155,0.175980,0.136497,0.003075,0.003378,0.004416,0.000004,0.000002,1.144793,0.278024,0.427029,0.229245,0.184450,0.004409,0.007750,0.013883,0.000002,0.000002,0,0
